algorithm,seed,generation,best_fitness
GA,0,0,4223.460017001602
GA,0,1,4109.0631190285885
GA,0,2,4109.0631190285885
GA,0,3,4109.0631190285885
GA,0,4,4109.0631190285885
GA,0,5,4109.0631190285885
GA,0,6,4109.0631190285885
GA,0,7,4098.7439477349035
GA,0,8,3848.8371409500082
GA,0,9,3848.8371409500082
GA,0,10,3848.8371409500082
GA,0,11,3848.8371409500082
GA,0,12,3845.780177281107
GA,0,13,3827.8942382993973
GA,0,14,3750.668356502258
GA,0,15,3750.668356502258
GA,0,16,3750.668356502258
GA,0,17,3747.642089154799
GA,0,18,3738.947962296769
GA,0,19,3738.947962296769
GA,0,20,3736.5597812041997
GA,0,21,3736.5597812041997
GA,0,22,3736.5597812041997
GA,0,23,3734.648849564791
GA,0,24,3727.431314429913
GA,0,25,3718.5666613693347
GA,0,26,3714.884249344721
GA,0,27,3714.884249344721
GA,0,28,3710.0329647840117
GA,0,29,3667.0477342127324
GA,0,30,3667.0477342127324
GA,0,31,3654.395565640794
GA,0,32,3654.395565640794
GA,0,33,3651.3203268500374
GA,0,34,3651.3203268500374
GA,0,35,3651.3203268500374
GA,0,36,3651.3203268500374
GA,0,37,3651.3203268500374
GA,0,38,3650.529985356611
GA,0,39,3650.529985356611
GA,0,40,3649.544281080084
GA,0,41,3649.544281080084
GA,0,42,3642.7579465702206
GA,0,43,3642.7579465702206
GA,0,44,3633.8906309503914
GA,0,45,3632.6156258921246
GA,0,46,3632.6156258921246
GA,0,47,3632.6156258921246
GA,0,48,3631.2503754252875
GA,0,49,3631.2503754252875
GA,1,0,3863.10503556766
GA,1,1,3863.10503556766
GA,1,2,3863.10503556766
GA,1,3,3863.10503556766
GA,1,4,3863.10503556766
GA,1,5,3855.2752667589616
GA,1,6,3853.4165147702456
GA,1,7,3832.63004721211
GA,1,8,3832.63004721211
GA,1,9,3827.80517060813
GA,1,10,3821.182078843685
GA,1,11,3821.182078843685
GA,1,12,3817.5765210942873
GA,1,13,3813.255422241892
GA,1,14,3813.255422241892
GA,1,15,3810.938077950211
GA,1,16,3810.938077950211
GA,1,17,3771.529793958019
GA,1,18,3771.529793958019
GA,1,19,3771.529793958019
GA,1,20,3771.529793958019
GA,1,21,3615.0786616783726
GA,1,22,3615.0786616783726
GA,1,23,3615.0786616783726
GA,1,24,3611.481238155024
GA,1,25,3611.481238155024
GA,1,26,3611.481238155024
GA,1,27,3611.481238155024
GA,1,28,3611.481238155024
GA,1,29,3611.481238155024
GA,1,30,3611.481238155024
GA,1,31,3608.885833059525
GA,1,32,3608.885833059525
GA,1,33,3608.885833059525
GA,1,34,3608.885833059525
GA,1,35,3608.885833059525
GA,1,36,3608.885833059525
GA,1,37,3608.885833059525
GA,1,38,3608.885833059525
GA,1,39,3608.885833059525
GA,1,40,3608.885833059525
GA,1,41,3608.885833059525
GA,1,42,3608.885833059525
GA,1,43,3571.305887518129
GA,1,44,3571.305887518129
GA,1,45,3563.3116807673
GA,1,46,3563.3116807673
GA,1,47,3539.725188560833
GA,1,48,3539.725188560833
GA,1,49,3539.725188560833
GA,2,0,4538.174590888128
GA,2,1,4538.174590888128
GA,2,2,4477.2494842472615
GA,2,3,4477.2494842472615
GA,2,4,4477.2494842472615
GA,2,5,4126.224432666138
GA,2,6,4094.3274992341785
GA,2,7,4094.3274992341785
GA,2,8,4094.3274992341785
GA,2,9,4090.052872619697
GA,2,10,4090.052872619697
GA,2,11,3672.8265987166487
GA,2,12,3672.8265987166487
GA,2,13,3477.214166511608
GA,2,14,3477.192322280323
GA,2,15,3477.192322280323
GA,2,16,3477.192322280323
GA,2,17,3462.2580157619923
GA,2,18,3460.6226106989416
GA,2,19,3460.6226106989416
GA,2,20,3460.6226106989416
GA,2,21,3458.8109291321734
GA,2,22,3458.8109291321734
GA,2,23,3453.6155554767192
GA,2,24,3453.6155554767192
GA,2,25,3453.6155554767192
GA,2,26,3453.6155554767192
GA,2,27,3453.6155554767192
GA,2,28,3453.6155554767192
GA,2,29,3453.6155554767192
GA,2,30,3453.6155554767192
GA,2,31,3451.560903656039
GA,2,32,3435.4749647418053
GA,2,33,3431.6627741122234
GA,2,34,3431.6627741122234
GA,2,35,3431.6627741122234
GA,2,36,3431.6627741122234
GA,2,37,3431.6627741122234
GA,2,38,3421.054973780917
GA,2,39,3421.054973780917
GA,2,40,3335.3043578731517
GA,2,41,3325.727257711579
GA,2,42,3325.727257711579
GA,2,43,3325.727257711579
GA,2,44,3325.727257711579
GA,2,45,3325.727257711579
GA,2,46,3325.727257711579
GA,2,47,3325.727257711579
