algorithm,seed,generation,best_fitness
GA,0,0,4398.120039079278
GA,0,1,4398.120039079278
GA,0,2,4344.165430818503
GA,0,3,4344.165430818503
GA,0,4,4344.165430818503
GA,0,5,4074.284586436273
GA,0,6,4074.284586436273
GA,0,7,4074.284586436273
GA,0,8,4074.284586436273
GA,0,9,4074.284586436273
GA,0,10,4065.9013775384014
GA,0,11,3901.5027714329663
GA,0,12,3893.1195625350947
GA,0,13,3893.1195625350947
GA,0,14,3893.1195625350947
GA,0,15,3893.1195625350947
GA,0,16,3893.1195625350947
GA,0,17,3891.046627905874
GA,0,18,3891.046627905874
GA,0,19,3891.046627905874
GA,0,20,3891.046627905874
GA,0,21,3891.046627905874
GA,0,22,3891.046627905874
GA,0,23,3891.046627905874
GA,0,24,3891.046627905874
GA,0,25,3891.046627905874
GA,0,26,3891.046627905874
GA,0,27,3891.046627905874
GA,0,28,3890.096665156623
GA,0,29,3890.096665156623
GA,0,30,3890.096665156623
GA,0,31,3890.096665156623
GA,0,32,3890.096665156623
GA,0,33,3890.096665156623
GA,0,34,3890.096665156623
GA,0,35,3890.096665156623
GA,0,36,3890.096665156623
GA,0,37,3890.096665156623
GA,0,38,3890.096665156623
GA,0,39,3890.096665156623
GA,0,40,3890.096665156623
GA,0,41,3890.096665156623
GA,0,42,3890.096665156623
GA,0,43,3890.096665156623
GA,0,44,3890.096665156623
GA,0,45,3890.096665156623
GA,0,46,3890.096665156623
GA,0,47,3890.096665156623
GA,0,48,3890.096665156623
GA,0,49,3890.096665156623
GA,1,0,4044.895528964894
GA,1,1,4032.914211402018
GA,1,2,3966.486457547029
GA,1,3,3962.4544834198823
GA,1,4,3962.4544834198823
GA,1,5,3962.4544834198823
GA,1,6,3956.5446371035823
GA,1,7,3954.1936735680883
GA,1,8,3829.135697630162
GA,1,9,3829.135697630162
GA,1,10,3819.7446825618654
GA,1,11,3819.7446825618654
GA,1,12,3819.7446825618654
GA,1,13,3819.7446825618654
GA,1,14,3819.7446825618654
GA,1,15,3819.7446825618654
GA,1,16,3751.925008898882
GA,1,17,3751.925008898882
GA,1,18,3751.925008898882
GA,1,19,3749.334706404303
GA,1,20,3749.334706404303
GA,1,21,3749.334706404303
GA,1,22,3749.334706404303
GA,1,23,3749.334706404303
GA,1,24,3749.334706404303
GA,1,25,3749.334706404303
GA,1,26,3749.334706404303
GA,1,27,3749.334706404303
GA,1,28,3749.334706404303
GA,1,29,3749.334706404303
GA,1,30,3749.334706404303
GA,1,31,3749.334706404303
GA,1,32,3749.334706404303
GA,1,33,3749.334706404303
GA,1,34,3749.334706404303
GA,1,35,3749.334706404303
GA,1,36,3749.334706404303
GA,1,37,3749.334706404303
GA,1,38,3749.334706404303
GA,1,39,3749.334706404303
GA,1,40,3749.334706404303
GA,1,41,3749.334706404303
GA,1,42,3749.334706404303
GA,1,43,3749.334706404303
GA,1,44,3749.334706404303
GA,1,45,3748.8761573581173
GA,1,46,3748.8761573581173
GA,1,47,3748.8761573581173
GA,1,48,3748.8761573581173
GA,1,49,3748.8761573581173
GA,2,0,4133.9326851258675
GA,2,1,4120.475991550261
GA,2,2,4074.6105635962854
GA,2,3,3894.2498591045196
GA,2,4,3890.110339987901
GA,2,5,3890.110339987901
GA,2,6,3889.5611602117574
GA,2,7,3889.5611602117574
GA,2,8,3889.5611602117574
GA,2,9,3889.5611602117574
GA,2,10,3888.9701025791246
GA,2,11,3867.948420493611
GA,2,12,3867.948420493611
GA,2,13,3867.948420493611
GA,2,14,3867.948420493611
GA,2,15,3867.948420493611
GA,2,16,3867.948420493611
GA,2,17,3867.948420493611
GA,2,18,3867.948420493611
GA,2,19,3867.948420493611
GA,2,20,3867.948420493611
GA,2,21,3867.948420493611
GA,2,22,3867.948420493611
GA,2,23,3867.948420493611
GA,2,24,3867.948420493611
GA,2,25,3867.948420493611
GA,2,26,3863.98051302434
GA,2,27,3863.98051302434
GA,2,28,3808.7818067287744
