algorithm,seed,generation,best_fitness
GA,0,0,3701.7455921734013
GA,0,1,3632.632498647813
GA,0,2,3632.632498647813
GA,0,3,3632.632498647813
GA,0,4,3632.0279406796326
GA,0,5,3461.718532866964
GA,0,6,3461.718532866964
GA,0,7,3457.6093927609254
GA,0,8,3452.748227652046
GA,0,9,3448.850098068113
GA,0,10,3382.4020638898182
GA,0,11,3382.4020638898182
GA,0,12,3371.6210065515374
GA,0,13,3371.6210065515374
GA,0,14,3371.6210065515374
GA,0,15,3370.1336889531126
GA,0,16,3370.1336889531126
GA,0,17,3370.1336889531126
GA,0,18,3370.1336889531126
GA,0,19,3370.1336889531126
GA,0,20,3355.7066611126775
GA,0,21,3355.7066611126775
GA,0,22,3355.7066611126775
GA,0,23,3355.7066611126775
GA,0,24,3351.0760663534115
GA,0,25,3349.6604482277867
GA,0,26,3349.6604482277867
GA,0,27,3349.6604482277867
GA,0,28,3349.6604482277867
GA,0,29,3349.6604482277867
GA,0,30,3346.1214306638485
GA,0,31,3346.1214306638485
GA,0,32,3346.1214306638485
GA,0,33,3346.1214306638485
GA,0,34,3346.1214306638485
GA,0,35,3346.1214306638485
GA,0,36,3346.1214306638485
GA,0,37,3346.1214306638485
GA,0,38,3346.1214306638485
GA,0,39,3346.1214306638485
GA,0,40,3346.1214306638485
GA,0,41,3346.1214306638485
GA,0,42,3345.42033524792
GA,0,43,3330.986777834826
GA,0,44,3327.6779460732537
GA,0,45,3327.6779460732537
GA,0,46,3327.3936365509717
GA,0,47,3313.2509182328185
GA,0,48,3313.2509182328185
GA,0,49,3313.2509182328185
GA,1,0,3670.9783822168633
GA,1,1,3666.9364029573753
GA,1,2,3666.9364029573753
GA,1,3,3666.9364029573753
GA,1,4,3666.052205415334
GA,1,5,3663.1547848284345
GA,1,6,3663.1547848284345
GA,1,7,3654.453931807975
GA,1,8,3650.375428831402
GA,1,9,3650.375428831402
GA,1,10,3650.375428831402
GA,1,11,3643.60333889549
GA,1,12,3643.60333889549
GA,1,13,3643.60333889549
GA,1,14,3642.8441682814187
GA,1,15,3641.9925885067405
GA,1,16,3641.9925885067405
GA,1,17,3641.9925885067405
GA,1,18,3641.251851490664
GA,1,19,3641.251851490664
GA,1,20,3640.1730203563448
GA,1,21,3640.1730203563448
GA,1,22,3626.1881770803834
GA,1,23,3626.1881770803834
GA,1,24,3626.1881770803834
GA,1,25,3626.1881770803834
GA,1,26,3626.1881770803834
GA,1,27,3626.054469533183
GA,1,28,3624.598496697824
GA,1,29,3624.598496697824
GA,1,30,3624.598496697824
GA,1,31,3615.507530057583
GA,1,32,3615.507530057583
GA,1,33,3615.507530057583
GA,1,34,3615.507530057583
GA,1,35,3613.719992468066
GA,1,36,3517.048325237305
GA,1,37,3517.048325237305
GA,1,38,3517.048325237305
GA,1,39,3515.974372741369
GA,1,40,3513.1455495649348
GA,1,41,3513.1455495649348
GA,1,42,3510.850021317367
GA,1,43,3510.850021317367
GA,1,44,3510.74343968561
GA,1,45,3510.74343968561
GA,1,46,3507.7536308696986
GA,1,47,3507.7536308696986
GA,1,48,3507.7536308696986
GA,1,49,3507.7536308696986
GA,2,0,3621.1585372420614
GA,2,1,3621.1585372420614
GA,2,2,3430.287129621716
GA,2,3,3428.0890713020326
GA,2,4,3419.6595823244747
GA,2,5,3419.6595823244747
GA,2,6,3411.9986451836894
GA,2,7,3411.9986451836894
GA,2,8,3411.9986451836894
GA,2,9,3411.9986451836894
GA,2,10,3410.5934881760772
GA,2,11,3410.5934881760772
GA,2,12,3408.105141815358
GA,2,13,3408.105141815358
GA,2,14,3408.105141815358
GA,2,15,3408.105141815358
GA,2,16,3408.105141815358
GA,2,17,3408.105141815358
GA,2,18,3408.105141815358
GA,2,19,3408.105141815358
GA,2,20,3405.2039643190237
GA,2,21,3405.2039643190237
GA,2,22,3405.2039643190237
GA,2,23,3405.2039643190237
GA,2,24,3405.2039643190237
GA,2,25,3405.2039643190237
GA,2,26,3405.2039643190237
GA,2,27,3405.2039643190237
GA,2,28,3405.2039643190237
GA,2,29,3405.2039643190237
GA,2,30,3405.2039643190237
GA,2,31,3405.2039643190237
GA,2,32,3405.2039643190237
GA,2,33,3405.2039643190237
GA,2,34,3405.2039643190237
GA,2,35,3405.2039643190237
GA,2,36,3405.2039643190237
GA,2,37,3405.2039643190237
GA,2,38,3405.2039643190237
GA,2,39,3405.2039643190237
GA,2,40,3405.2039643190237
GA,2,41,3405.2039643190237
GA,2,42,3405.2039643190237
GA,2,43,3405.2039643190237
GA,2,44,3405.2039643190237
GA,2,45,3405.2039643190237
GA,2,46,3405.2039643190237
GA,2,47,3391.9770774574754
GA,2,48,3391.9770774574754
GA,2,49,3391.9770774574754
GA,3,0,4019.719340701575
GA,3,1,3768.992437952171
GA,3,2,3751.254674247839
GA,3,3,3751.254674247839
GA,3,4,3750.502675242516
GA,3,5,3693.519129172396
GA,3,6,3686.3954695903
GA,3,7,3686.3954695903
GA,3,8,3686.3954695903
GA,3,9,3686.3954695903
GA,3,10,3470.8221865736427
GA,3,11,3470.790360635602
GA,3,12,3470.790360635602
GA,3,13,3470.790360635602
GA,3,14,3428.548330813778
GA,3,15,3428.548330813778
GA,3,16,3428.548330813778
GA,3,17,3426.8003813446517
GA,3,18,3426.7480477372483
GA,3,19,3426.7480477372483
GA,3,20,3426.7480477372483
GA,3,21,3407.6849644626054
GA,3,22,3407.6849644626054
GA,3,23,3405.4305397376224
GA,3,24,3404.5939841377444
GA,3,25,3404.5939841377444
GA,3,26,3404.5939841377444
GA,3,27,3403.3930152724065
GA,3,28,3362.4011601397306
GA,3,29,3362.4011601397306
GA,3,30,3362.4011601397306
GA,3,31,3362.4011601397306
GA,3,32,3359.32825339382
GA,3,33,3359.32825339382
GA,3,34,3353.4267891734057
GA,3,35,3350.709524324459
GA,3,36,3350.709524324459
GA,3,37,3350.709524324459
GA,3,38,3350.709524324459
GA,3,39,3350.709524324459
GA,3,40,3350.709524324459
GA,3,41,3349.5062904462916
GA,3,42,3349.5062904462916
GA,3,43,3349.5062904462916
GA,3,44,3325.3990220102687
GA,3,45,3325.3990220102687
GA,3,46,3325.3990220102687
GA,3,47,3325.3990220102687
GA,3,48,3325.3990220102687
GA,3,49,3325.3990220102687
GA,4,0,3627.287965038768
GA,4,1,3478.096450068398
GA,4,2,3478.096450068398
GA,4,3,3361.3701963531057
GA,4,4,3353.1069654814305
GA,4,5,3344.6020234104794
GA,4,6,3344.6020234104794
GA,4,7,3344.6020234104794
GA,4,8,3344.6020234104794
GA,4,9,3321.0453889454975
GA,4,10,3321.0453889454975
GA,4,11,3321.0453889454975
GA,4,12,3321.0453889454975
GA,4,13,3296.6069989655666
GA,4,14,3296.6069989655666
GA,4,15,3238.6960381630442
GA,4,16,3223.2171539577057
GA,4,17,3223.2171539577057
GA,4,18,3223.2171539577057
GA,4,19,3220.7437121549037
GA,4,20,3220.7437121549037
GA,4,21,3220.7437121549037
GA,4,22,3220.6659643371004
GA,4,23,3218.1238987905326
GA,4,24,3218.1238987905326
GA,4,25,3218.1238987905326
GA,4,26,3218.1238987905326
GA,4,27,3218.1238987905326
GA,4,28,3218.1238987905326
GA,4,29,3218.1238987905326
GA,4,30,3217.989941929925
GA,4,31,3215.2950018632787
GA,4,32,3215.2950018632787
GA,4,33,3215.2950018632787
GA,4,34,3215.2950018632787
GA,4,35,3215.2950018632787
GA,4,36,3215.2950018632787
GA,4,37,3215.2950018632787
GA,4,38,3215.2950018632787
GA,4,39,3215.2950018632787
GA,4,40,3215.2950018632787
GA,4,41,3215.2950018632787
GA,4,42,3215.2950018632787
GA,4,43,3215.2950018632787
GA,4,44,3215.2950018632787
GA,4,45,3215.2950018632787
GA,4,46,3215.2950018632787
GA,4,47,3215.2950018632787
GA,4,48,3215.2950018632787
GA,4,49,3215.2950018632787
GA,5,0,4814.871079694907
GA,5,1,4337.763303045231
GA,5,2,3919.547984421736
GA,5,3,3688.3461840937916
GA,5,4,3688.3461840937916
GA,5,5,3685.632590449728
GA,5,6,3627.3852426533085
GA,5,7,3627.3852426533085
GA,5,8,3627.3852426533085
GA,5,9,3627.3852426533085
GA,5,10,3623.9830195855284
GA,5,11,3623.9830195855284
GA,5,12,3622.9628716992033
GA,5,13,3622.9628716992033
GA,5,14,3622.721396996224
GA,5,15,3622.721396996224
GA,5,16,3622.721396996224
GA,5,17,3622.721396996224
GA,5,18,3622.721396996224
GA,5,19,3622.721396996224
GA,5,20,3622.721396996224
GA,5,21,3622.721396996224
GA,5,22,3622.721396996224
GA,5,23,3622.721396996224
GA,5,24,3622.721396996224
GA,5,25,3619.6022920581454
GA,5,26,3619.6022920581454
GA,5,27,3619.6022920581454
GA,5,28,3617.806793794672
GA,5,29,3617.806793794672
GA,5,30,3616.999812669264
GA,5,31,3616.999812669264
GA,5,32,3616.999812669264
GA,5,33,3616.999812669264
GA,5,34,3616.999812669264
GA,5,35,3616.999812669264
GA,5,36,3616.999812669264
GA,5,37,3616.999812669264
GA,5,38,3616.778949760559
GA,5,39,3616.778949760559
GA,5,40,3616.6517780514228
GA,5,41,3616.6517780514228
GA,5,42,3616.6517780514228
GA,5,43,3614.448289539208
GA,5,44,3613.93308203166
GA,5,45,3613.6156313892916
GA,5,46,3613.4884596801553
GA,5,47,3613.4884596801553
GA,5,48,3613.4884596801553
GA,5,49,3613.4884596801553
GA,6,0,3911.592361931393
GA,6,1,3911.592361931393
GA,6,2,3623.128664522233
GA,6,3,3623.128664522233
GA,6,4,3623.128664522233
GA,6,5,3609.2003540682895
GA,6,6,3602.8122929635424
GA,6,7,3602.8122929635424
GA,6,8,3602.8122929635424
GA,6,9,3599.025370974279
GA,6,10,3599.025370974279
GA,6,11,3599.025370974279
GA,6,12,3597.27516249822
GA,6,13,3597.27516249822
GA,6,14,3597.27516249822
GA,6,15,3597.27516249822
GA,6,16,3595.019420991166
GA,6,17,3595.019420991166
GA,6,18,3595.019420991166
GA,6,19,3595.019420991166
GA,6,20,3595.019420991166
GA,6,21,3595.019420991166
GA,6,22,3595.019420991166
GA,6,23,3595.019420991166
GA,6,24,3593.8305747313125
GA,6,25,3593.8305747313125
GA,6,26,3593.8305747313125
GA,6,27,3592.1736103293656
GA,6,28,3592.1736103293656
GA,6,29,3592.1736103293656
GA,6,30,3591.21958513916
GA,6,31,3591.21958513916
GA,6,32,3452.9899963165553
GA,6,33,3446.8918445074314
GA,6,34,3446.8918445074314
GA,6,35,3446.8918445074314
GA,6,36,3446.8918445074314
GA,6,37,3446.8918445074314
GA,6,38,3446.8918445074314
GA,6,39,3446.8918445074314
GA,6,40,3446.3602263056414
GA,6,41,3446.3602263056414
GA,6,42,3443.8908452901514
GA,6,43,3443.8908452901514
GA,6,44,3443.2818090246246
GA,6,45,3443.2818090246246
GA,6,46,3443.2818090246246
GA,6,47,3443.2818090246246
GA,6,48,3443.2818090246246
GA,6,49,3443.2818090246246
GA,7,0,4364.462656414353
GA,7,1,4364.4581785433365
GA,7,2,4344.381499872918
GA,7,3,4060.5107996878232
GA,7,4,4060.5107996878232
GA,7,5,3817.284913179771
GA,7,6,3810.6210805505816
GA,7,7,3810.6210805505816
GA,7,8,3810.6210805505816
GA,7,9,3804.7492967661874
GA,7,10,3804.7492967661874
GA,7,11,3610.7052284403044
GA,7,12,3610.7052284403044
GA,7,13,3607.075802658722
GA,7,14,3375.3697761362528
GA,7,15,3375.3697761362528
GA,7,16,3375.3697761362528
GA,7,17,3375.3697761362528
GA,7,18,3321.0565185303385
GA,7,19,3311.4697027175175
GA,7,20,3311.4697027175175
GA,7,21,3304.591308580644
GA,7,22,3304.591308580644
GA,7,23,3304.591308580644
GA,7,24,3304.591308580644
GA,7,25,3303.59741485434
GA,7,26,3303.59741485434
GA,7,27,3291.9890008524735
GA,7,28,3291.9890008524735
GA,7,29,3291.9890008524735
GA,7,30,3291.9890008524735
GA,7,31,3291.9890008524735
GA,7,32,3291.9890008524735
GA,7,33,3291.9890008524735
GA,7,34,3291.9890008524735
GA,7,35,3291.9890008524735
GA,7,36,3291.9890008524735
GA,7,37,3285.325168223284
GA,7,38,3285.325168223284
GA,7,39,3285.325168223284
GA,7,40,3263.4882932376563
GA,7,41,3263.4882932376563
GA,7,42,3263.4882932376563
GA,7,43,3263.4882932376563
GA,7,44,3263.4882932376563
GA,7,45,3263.4882932376563
GA,7,46,3263.4882932376563
GA,7,47,3263.4882932376563
GA,7,48,3263.4882932376563
GA,7,49,3263.4882932376563
GA,8,0,3873.654346896977
GA,8,1,3804.117724570517
GA,8,2,3804.117724570517
GA,8,3,3790.726588099523
GA,8,4,3697.400162947985
GA,8,5,3697.400162947985
GA,8,6,3697.400162947985
GA,8,7,3555.5136787820265
GA,8,8,3462.2591939106615
GA,8,9,3462.2591939106615
GA,8,10,3462.2591939106615
GA,8,11,3379.331435113207
GA,8,12,3379.331435113207
GA,8,13,3379.331435113207
GA,8,14,3379.331435113207
GA,8,15,3369.0601437513237
GA,8,16,3369.0601437513237
GA,8,17,3367.0121976660757
GA,8,18,3365.2603915505033
GA,8,19,3365.2603915505033
GA,8,20,3361.7049497343864
GA,8,21,3360.518328710349
GA,8,22,3360.518328710349
GA,8,23,3360.518328710349
GA,8,24,3359.365580589856
GA,8,25,3359.365580589856
GA,8,26,3359.365580589856
GA,8,27,3356.266944369777
GA,8,28,3356.266944369777
GA,8,29,3356.266944369777
GA,8,30,3356.266944369777
GA,8,31,3356.266944369777
GA,8,32,3356.266944369777
GA,8,33,3356.266944369777
GA,8,34,3356.266944369777
GA,8,35,3356.266944369777
GA,8,36,3356.266944369777
GA,8,37,3356.266944369777
GA,8,38,3351.5242501513676
GA,8,39,3351.4133140902454
GA,8,40,3351.4133140902454
GA,8,41,3351.4133140902454
GA,8,42,3351.4133140902454
GA,8,43,3351.4133140902454
GA,8,44,3351.4133140902454
GA,8,45,3351.4133140902454
GA,8,46,3351.4133140902454
GA,8,47,3351.2797130077115
GA,8,48,3351.2797130077115
GA,8,49,3348.9323572895755
GA,9,0,3601.1597443558567
GA,9,1,3601.1597443558567
GA,9,2,3601.1597443558567
GA,9,3,3600.970806182163
GA,9,4,3490.7336198899416
GA,9,5,3490.7336198899416
GA,9,6,3479.7550754160256
GA,9,7,3465.905219632058
GA,9,8,3465.905219632058
GA,9,9,3459.518891243145
GA,9,10,3459.518891243145
GA,9,11,3458.032916183048
GA,9,12,3457.699440692582
GA,9,13,3457.699440692582
GA,9,14,3457.6897948559917
GA,9,15,3457.6897948559917
GA,9,16,3457.4861949212977
GA,9,17,3455.6494508089804
GA,9,18,3455.6494508089804
GA,9,19,3455.6494508089804
GA,9,20,3455.6494508089804
GA,9,21,3455.6494508089804
GA,9,22,3455.6494508089804
GA,9,23,3455.6494508089804
GA,9,24,3455.6494508089804
GA,9,25,3455.6494508089804
GA,9,26,3455.6494508089804
GA,9,27,3455.6494508089804
GA,9,28,3455.6494508089804
GA,9,29,3455.6494508089804
GA,9,30,3455.6494508089804
GA,9,31,3454.7766538540427
GA,9,32,3454.7766538540427
GA,9,33,3454.7766538540427
GA,9,34,3454.7766538540427
GA,9,35,3452.8844555202127
GA,9,36,3452.8844555202127
GA,9,37,3452.8844555202127
GA,9,38,3452.8844555202127
GA,9,39,3452.8844555202127
GA,9,40,3452.8844555202127
GA,9,41,3452.8844555202127
GA,9,42,3452.8844555202127
GA,9,43,3452.8844555202127
GA,9,44,3452.8844555202127
GA,9,45,3452.8844555202127
GA,9,46,3452.8844555202127
GA,9,47,3452.8844555202127
GA,9,48,3452.8844555202127
GA,9,49,3452.8844555202127
SA,0,0,3818.9007235683293
SA,0,1,3814.6283441887126
SA,0,2,3592.892748393103
SA,0,3,3588.5735307643263
SA,0,4,3586.2468294846676
SA,0,5,3538.5680817869084
SA,0,6,3538.5680817869084
SA,0,7,3528.119867453518
SA,0,8,3513.60217385271
SA,0,9,3513.60217385271
SA,0,10,3513.60217385271
SA,0,11,3513.60217385271
SA,0,12,3513.60217385271
SA,0,13,3513.60217385271
SA,0,14,3513.60217385271
SA,0,15,3513.60217385271
SA,0,16,3513.60217385271
SA,0,17,3513.60217385271
SA,0,18,3513.60217385271
SA,0,19,3513.60217385271
SA,0,20,3513.60217385271
SA,0,21,3513.60217385271
SA,0,22,3510.1078336080313
SA,0,23,3510.1078336080313
SA,0,24,3510.1078336080313
SA,0,25,3510.1078336080313
SA,0,26,3510.1078336080313
SA,0,27,3510.1078336080313
SA,0,28,3510.1078336080313
SA,0,29,3510.1078336080313
SA,0,30,3474.5442755637487
SA,0,31,3472.117328992092
SA,0,32,3470.6907313720944
SA,0,33,3468.8156580446857
SA,0,34,3464.079167497653
SA,0,35,3460.608473757355
SA,0,36,3459.0666686516324
SA,0,37,3459.0666686516324
SA,0,38,3459.0666686516324
SA,0,39,3459.0666686516324
SA,0,40,3459.0666686516324
SA,0,41,3456.8611155768695
SA,0,42,3456.2230435635406
SA,0,43,3456.2230435635406
SA,0,44,3456.2230435635406
SA,0,45,3456.2230435635406
SA,0,46,3456.2230435635406
SA,0,47,3456.2230435635406
SA,0,48,3456.2230435635406
SA,0,49,3456.2230435635406
SA,1,0,3870.650333974744
SA,1,1,3866.6849083519583
