algorithm,seed,generation,best_fitness
GA,0,0,4061.5939689380893
GA,0,1,4061.5939689380893
GA,0,2,3957.595170152299
GA,0,3,3956.420409504945
GA,0,4,3955.730109648609
GA,0,5,3945.368350657543
GA,0,6,3945.368350657543
GA,0,7,3894.5633670878547
GA,0,8,3647.997023549966
GA,0,9,3646.822262902612
GA,0,10,3646.822262902612
GA,0,11,3640.70106852716
GA,0,12,3640.70106852716
GA,0,13,3640.70106852716
GA,0,14,3569.5531537421803
GA,0,15,3569.5531537421803
GA,0,16,3569.5531537421803
GA,0,17,3556.2047074154048
GA,0,18,3556.2047074154048
GA,0,19,3556.2047074154048
GA,0,20,3556.2047074154048
GA,0,21,3556.2047074154048
GA,0,22,3547.0158492069213
GA,0,23,3547.0158492069213
GA,0,24,3547.0158492069213
GA,0,25,3547.0158492069213
GA,0,26,3547.0158492069213
GA,0,27,3547.0158492069213
GA,0,28,3547.0158492069213
GA,0,29,3547.0158492069213
GA,0,30,3545.045554425959
GA,0,31,3545.045554425959
GA,0,32,3545.045554425959
GA,0,33,3545.045554425959
GA,0,34,3545.045554425959
GA,0,35,3545.045554425959
GA,0,36,3545.045554425959
GA,0,37,3543.1868736549513
GA,0,38,3543.1868736549513
GA,0,39,3543.1868736549513
GA,0,40,3543.1868736549513
GA,0,41,3543.1868736549513
GA,0,42,3543.1868736549513
GA,0,43,3543.1868736549513
GA,0,44,3543.1868736549513
GA,0,45,3543.1868736549513
GA,0,46,3543.1868736549513
GA,0,47,3543.1868736549513
GA,0,48,3543.1868736549513
GA,0,49,3543.1868736549513
GA,1,0,3725.1502613217112
GA,1,1,3725.1502613217112
GA,1,2,3725.1502613217112
GA,1,3,3679.2114480162977
GA,1,4,3679.2114480162977
GA,1,5,3557.746821692669
GA,1,6,3557.746821692669
GA,1,7,3540.5096983699386
GA,1,8,3524.140422966034
GA,1,9,3500.789153264614
GA,1,10,3500.789153264614
GA,1,11,3500.789153264614
GA,1,12,3500.789153264614
GA,1,13,3499.1790949857527
GA,1,14,3499.1790949857527
GA,1,15,3499.1790949857527
GA,1,16,3498.311107456723
GA,1,17,3496.228359941615
GA,1,18,3495.185209626291
GA,1,19,3494.656610103428
GA,1,20,3494.656610103428
GA,1,21,3494.656610103428
GA,1,22,3494.656610103428
GA,1,23,3494.656610103428
GA,1,24,3494.656610103428
GA,1,25,3494.656610103428
GA,1,26,3462.042601876029
GA,1,27,3458.45756236771
GA,1,28,3451.323527544023
GA,1,29,3451.323527544023
GA,1,30,3450.9625069484728
GA,1,31,3450.9625069484728
GA,1,32,3450.9625069484728
GA,1,33,3450.9625069484728
GA,1,34,3450.9625069484728
GA,1,35,3450.9625069484728
GA,1,36,3450.9625069484728
GA,1,37,3450.9625069484728
GA,1,38,3450.9625069484728
GA,1,39,3450.9625069484728
GA,1,40,3450.008003564526
GA,1,41,3450.008003564526
GA,1,42,3450.008003564526
GA,1,43,3450.008003564526
GA,1,44,3450.008003564526
GA,1,45,3450.008003564526
GA,1,46,3450.008003564526
GA,1,47,3450.008003564526
GA,1,48,3450.008003564526
GA,1,49,3450.008003564526
GA,2,0,4044.7989234369147
GA,2,1,3812.2590689838203
GA,2,2,3812.2590689838203
GA,2,3,3812.2590689838203
GA,2,4,3812.2590689838203
GA,2,5,3808.241714585065
GA,2,6,3808.241714585065
GA,2,7,3805.726157817109
GA,2,8,3805.726157817109
GA,2,9,3805.726157817109
GA,2,10,3805.726157817109
GA,2,11,3359.616432378123
GA,2,12,3359.616432378123
GA,2,13,3287.4534114542303
GA,2,14,3287.4534114542303
GA,2,15,3287.4534114542303
GA,2,16,3287.1660687026106
GA,2,17,3285.722223756531
GA,2,18,3285.722223756531
GA,2,19,3282.4418589569636
GA,2,20,3282.4418589569636
GA,2,21,3282.4418589569636
GA,2,22,3282.4418589569636
GA,2,23,3282.4418589569636
GA,2,24,3282.4418589569636
GA,2,25,3282.4418589569636
GA,2,26,3282.4418589569636
GA,2,27,3282.4418589569636
GA,2,28,3282.4418589569636
GA,2,29,3282.4418589569636
GA,2,30,3282.4418589569636
GA,2,31,3282.4418589569636
GA,2,32,3282.4418589569636
GA,2,33,3282.4418589569636
GA,2,34,3282.4418589569636
GA,2,35,3282.4418589569636
GA,2,36,3282.4418589569636
GA,2,37,3282.4418589569636
GA,2,38,3282.4418589569636
GA,2,39,3282.4418589569636
GA,2,40,3282.4418589569636
GA,2,41,3282.4418589569636
GA,2,42,3282.4418589569636
GA,2,43,3282.4418589569636
GA,2,44,3282.4418589569636
GA,2,45,3282.4418589569636
GA,2,46,3282.4418589569636
GA,2,47,3282.4418589569636
GA,2,48,3282.4418589569636
GA,2,49,3282.4418589569636
GA,3,0,3890.5815806811693
GA,3,1,3558.3810535198054
GA,3,2,3538.1873561692664
GA,3,3,3532.8806959869207
GA,3,4,3525.3880793286176
GA,3,5,3475.6927348803115
GA,3,6,3443.8632860571975
GA,3,7,3443.5515052691867
GA,3,8,3435.7732377555767
GA,3,9,3430.700960269128
GA,3,10,3223.1212769894646
GA,3,11,3219.169430690099
GA,3,12,3219.169430690099
GA,3,13,3214.2517036670292
GA,3,14,3213.559559955682
GA,3,15,3210.399094082038
GA,3,16,3210.399094082038
GA,3,17,3206.920398057593
GA,3,18,3206.920398057593
GA,3,19,3206.920398057593
GA,3,20,3206.920398057593
GA,3,21,3206.920398057593
GA,3,22,3197.9785357330943
GA,3,23,3197.9785357330943
GA,3,24,3196.8947781391257
GA,3,25,3196.8947781391257
GA,3,26,3196.8947781391257
GA,3,27,3196.8947781391257
GA,3,28,3196.8947781391257
GA,3,29,3196.8947781391257
GA,3,30,3196.8947781391257
GA,3,31,3196.2126110988374
GA,3,32,3196.2126110988374
GA,3,33,3196.2126110988374
GA,3,34,3196.2126110988374
GA,3,35,3196.2126110988374
GA,3,36,3196.2126110988374
GA,3,37,3196.2126110988374
GA,3,38,3196.2126110988374
GA,3,39,3196.2126110988374
GA,3,40,3196.2126110988374
GA,3,41,3196.2126110988374
GA,3,42,3196.2126110988374
GA,3,43,3196.2126110988374
GA,3,44,3196.2126110988374
GA,3,45,3196.2126110988374
GA,3,46,3196.2126110988374
GA,3,47,3196.2126110988374
GA,3,48,3196.2126110988374
GA,3,49,3196.2126110988374
GA,4,0,4530.09474239017
GA,4,1,4125.163390765973
GA,4,2,4111.82399053962
GA,4,3,3625.3007536306995
GA,4,4,3625.3007536306995
GA,4,5,3584.5199115198307
GA,4,6,3498.6016657420996
GA,4,7,3498.6016657420996
GA,4,8,3498.6016657420996
GA,4,9,3492.315299648039
GA,4,10,3492.315299648039
GA,4,11,3486.504134560859
GA,4,12,3486.504134560859
GA,4,13,3486.390276439879
GA,4,14,3486.390276439879
GA,4,15,3486.390276439879
GA,4,16,3486.390276439879
GA,4,17,3485.2235616111416
GA,4,18,3485.2235616111416
GA,4,19,3485.2235616111416
GA,4,20,3483.436542203445
GA,4,21,3483.436542203445
GA,4,22,3483.436542203445
GA,4,23,3483.436542203445
GA,4,24,3483.436542203445
GA,4,25,3481.3024774310193
GA,4,26,3481.3024774310193
GA,4,27,3472.483745654546
GA,4,28,3472.483745654546
GA,4,29,3397.935810856551
GA,4,30,3397.935810856551
GA,4,31,3395.8017460841256
GA,4,32,3395.8017460841256
GA,4,33,3395.8017460841256
GA,4,34,3395.8017460841256
GA,4,35,3395.8017460841256
GA,4,36,3391.2281828879895
GA,4,37,3391.2281828879895
GA,4,38,3391.2281828879895
GA,4,39,3391.2281828879895
GA,4,40,3391.2281828879895
GA,4,41,3391.2281828879895
GA,4,42,3391.2281828879895
GA,4,43,3389.998231841011
GA,4,44,3386.009207171456
GA,4,45,3386.009207171456
GA,4,46,3283.286205143565
GA,4,47,3283.286205143565
GA,4,48,3283.286205143565
GA,4,49,3283.286205143565
GA,5,0,3974.3461998097855
GA,5,1,3974.3461998097855
GA,5,2,3858.8659370194373
GA,5,3,3858.8659370194373
GA,5,4,3779.504080945291
GA,5,5,3736.9735092558108
GA,5,6,3602.496288320527
GA,5,7,3593.248659520432
GA,5,8,3593.248659520432
GA,5,9,3592.6626035400873
GA,5,10,3592.6626035400873
GA,5,11,3583.9434197039723
GA,5,12,3575.9859238581994
GA,5,13,3575.9859238581994
GA,5,14,3377.36803238444
GA,5,15,3377.36803238444
GA,5,16,3374.070136616648
GA,5,17,3374.070136616648
GA,5,18,3374.070136616648
GA,5,19,3373.5520111462647
GA,5,20,3373.5520111462647
GA,5,21,3373.5520111462647
GA,5,22,3373.5520111462647
GA,5,23,3373.5520111462647
GA,5,24,3371.36960937905
GA,5,25,3371.36960937905
GA,5,26,3371.36960937905
GA,5,27,3371.36960937905
GA,5,28,3371.2482571119526
GA,5,29,3371.2482571119526
GA,5,30,3370.973891538396
GA,5,31,3370.973891538396
GA,5,32,3370.973891538396
GA,5,33,3370.973891538396
GA,5,34,3370.973891538396
GA,5,35,3370.973891538396
GA,5,36,3370.973891538396
GA,5,37,3370.973891538396
GA,5,38,3370.973891538396
GA,5,39,3370.973891538396
GA,5,40,3370.973891538396
GA,5,41,3370.973891538396
GA,5,42,3370.973891538396
GA,5,43,3370.973891538396
GA,5,44,3370.973891538396
GA,5,45,3370.973891538396
GA,5,46,3370.973891538396
GA,5,47,3370.973891538396
GA,5,48,3370.973891538396
GA,5,49,3370.973891538396
GA,6,0,3904.61089368079
GA,6,1,3680.4898915693725
GA,6,2,3680.4898915693725
GA,6,3,3676.41580207786
GA,6,4,3639.143473636451
GA,6,5,3639.143473636451
GA,6,6,3514.1485934297775
GA,6,7,3514.1485934297775
GA,6,8,3426.9501647851757
GA,6,9,3426.9501647851757
GA,6,10,3421.111897978246
GA,6,11,3413.0715546530937
GA,6,12,3413.0715546530937
GA,6,13,3412.458285792782
GA,6,14,3412.458285792782
GA,6,15,3412.458285792782
GA,6,16,3403.8888922685924
GA,6,17,3403.8888922685924
GA,6,18,3403.8888922685924
GA,6,19,3403.431250378186
GA,6,20,3245.397876303826
GA,6,21,3244.626248382076
GA,6,22,3244.626248382076
GA,6,23,3244.626248382076
GA,6,24,3244.626248382076
GA,6,25,3240.4915893158077
GA,6,26,3237.4912585585303
GA,6,27,3237.4912585585303
GA,6,28,3237.4912585585303
GA,6,29,3237.4912585585303
GA,6,30,3237.4912585585303
GA,6,31,3237.4912585585303
GA,6,32,3237.4912585585303
GA,6,33,3237.4912585585303
GA,6,34,3237.4912585585303
GA,6,35,3237.4912585585303
GA,6,36,3237.4912585585303
GA,6,37,3237.4912585585303
GA,6,38,3237.4912585585303
GA,6,39,3237.4912585585303
GA,6,40,3237.4912585585303
GA,6,41,3237.4912585585303
GA,6,42,3237.4912585585303
GA,6,43,3237.4912585585303
GA,6,44,3237.4912585585303
GA,6,45,3237.4912585585303
GA,6,46,3237.4912585585303
GA,6,47,3237.4912585585303
GA,6,48,3237.4912585585303
GA,6,49,3237.4912585585303
GA,7,0,4576.776383649654
GA,7,1,4542.9540639959505
GA,7,2,3974.399033009357
GA,7,3,3703.788325070387
GA,7,4,3703.788325070387
GA,7,5,3587.9629966631587
GA,7,6,3411.059281229054
GA,7,7,3402.731934768684
GA,7,8,3399.1875047324324
GA,7,9,3396.721377236335
GA,7,10,3396.721377236335
GA,7,11,3366.66058500379
GA,7,12,3366.66058500379
GA,7,13,3326.979252738726
GA,7,14,3326.979252738726
GA,7,15,3321.0818252266504
GA,7,16,3321.0818252266504
GA,7,17,3321.0818252266504
GA,7,18,3320.16911190131
GA,7,19,3320.16911190131
GA,7,20,3316.6492740822587
GA,7,21,3311.3106624909583
GA,7,22,3307.4179768271283
GA,7,23,3307.4179768271283
GA,7,24,3304.9351031755177
GA,7,25,3304.9351031755177
GA,7,26,3302.1790848640153
GA,7,27,3302.1790848640153
GA,7,28,3302.1790848640153
GA,7,29,3302.1790848640153
GA,7,30,3302.1790848640153
GA,7,31,3302.1790848640153
GA,7,32,3302.1790848640153
GA,7,33,3302.1790848640153
GA,7,34,3302.1790848640153
GA,7,35,3302.1790848640153
GA,7,36,3302.1790848640153
GA,7,37,3302.1790848640153
GA,7,38,3300.3380414169033
GA,7,39,3300.3380414169033
GA,7,40,3300.3380414169033
GA,7,41,3300.3380414169033
GA,7,42,3300.3380414169033
GA,7,43,3300.3380414169033
GA,7,44,3300.3380414169033
GA,7,45,3300.3380414169033
GA,7,46,3300.3380414169033
GA,7,47,3300.3380414169033
GA,7,48,3300.3380414169033
GA,7,49,3300.3380414169033
GA,8,0,4013.905959004932
GA,8,1,3518.8835091088913
GA,8,2,3466.4636255642813
GA,8,3,3327.1600759514063
GA,8,4,3327.1600759514063
GA,8,5,3327.1600759514063
GA,8,6,3327.1600759514063
GA,8,7,3326.575575736838
GA,8,8,3324.545056880531
GA,8,9,3324.545056880531
GA,8,10,3324.545056880531
GA,8,11,3310.872467644468
GA,8,12,3310.872467644468
GA,8,13,3298.562476805229
GA,8,14,3298.562476805229
GA,8,15,3293.073683815116
GA,8,16,3293.073683815116
GA,8,17,3293.073683815116
GA,8,18,3293.073683815116
GA,8,19,3266.816464053189
GA,8,20,3266.816464053189
GA,8,21,3266.816464053189
GA,8,22,3266.816464053189
GA,8,23,3266.816464053189
GA,8,24,3266.816464053189
GA,8,25,3266.152043004247
GA,8,26,3251.1885160716583
GA,8,27,3251.1885160716583
GA,8,28,3251.1885160716583
GA,8,29,3249.102336055664
GA,8,30,3249.102336055664
GA,8,31,3249.102336055664
GA,8,32,3249.102336055664
GA,8,33,3249.102336055664
GA,8,34,3249.102336055664
GA,8,35,3249.102336055664
GA,8,36,3249.102336055664
GA,8,37,3249.102336055664
GA,8,38,3249.102336055664
GA,8,39,3249.102336055664
GA,8,40,3249.102336055664
GA,8,41,3249.102336055664
GA,8,42,3249.102336055664
GA,8,43,3249.102336055664
GA,8,44,3248.9090776601543
GA,8,45,3248.9090776601543
GA,8,46,3248.850347044426
GA,8,47,3248.850347044426
GA,8,48,3248.850347044426
GA,8,49,3248.850347044426
GA,9,0,3552.4723897921285
GA,9,1,3493.50371355312
GA,9,2,3320.202517124282
GA,9,3,3307.418614864074
GA,9,4,3307.418614864074
GA,9,5,3307.0439892977047
GA,9,6,3302.506494231334
GA,9,7,3302.506494231334
GA,9,8,3302.506494231334
GA,9,9,3302.506494231334
GA,9,10,3301.9433549955584
GA,9,11,3297.996873866382
GA,9,12,3297.996873866382
GA,9,13,3297.996873866382
GA,9,14,3292.559226624081
GA,9,15,3292.559226624081
GA,9,16,3292.559226624081
GA,9,17,3292.559226624081
GA,9,18,3292.559226624081
GA,9,19,3291.786804760129
GA,9,20,3291.786804760129
GA,9,21,3291.786804760129
GA,9,22,3291.786804760129
GA,9,23,3291.786804760129
GA,9,24,3291.786804760129
GA,9,25,3291.786804760129
GA,9,26,3291.786804760129
GA,9,27,3291.786804760129
GA,9,28,3291.786804760129
GA,9,29,3291.786804760129
GA,9,30,3291.786804760129
GA,9,31,3291.786804760129
GA,9,32,3291.786804760129
GA,9,33,3291.786804760129
GA,9,34,3291.786804760129
GA,9,35,3289.8406111873414
GA,9,36,3289.8406111873414
GA,9,37,3289.8406111873414
GA,9,38,3289.8406111873414
GA,9,39,3289.8406111873414
GA,9,40,3287.828400336143
GA,9,41,3284.247585687995
GA,9,42,3284.247585687995
GA,9,43,3284.247585687995
GA,9,44,3284.247585687995
GA,9,45,3284.247585687995
GA,9,46,3284.247585687995
GA,9,47,3284.247585687995
GA,9,48,3284.247585687995
GA,9,49,3284.247585687995
SA,0,0,4712.303863364814
SA,0,1,4303.644175822482
SA,0,2,4042.2149433443005
SA,0,3,4034.254566375457
SA,0,4,3809.042733626541
SA,0,5,3703.553847359533
SA,0,6,3562.271641467485
SA,0,7,3557.7561533328562
SA,0,8,3550.703801597405
SA,0,9,3489.8337147855427
SA,0,10,3486.9228541080092
SA,0,11,3413.686447858996
SA,0,12,3413.686447858996
SA,0,13,3402.830673026794
SA,0,14,3397.1442151073998
SA,0,15,3375.1603695369895
SA,0,16,3375.1603695369895
SA,0,17,3281.3595528564115
SA,0,18,3278.7272486517145
SA,0,19,3273.23529149866
SA,0,20,3273.23529149866
SA,0,21,3269.75040908348
SA,0,22,3269.75040908348
SA,0,23,3269.75040908348
SA,0,24,3269.75040908348
SA,0,25,3269.75040908348
