size,algorithm,seed,generation,best_fitness
small,GA,0,0,1438.9786109931804
small,GA,0,1,1184.5826060205982
small,GA,0,2,1184.5826060205982
small,GA,0,3,1184.5826060205982
small,GA,0,4,1183.1290890967466
small,GA,0,5,1183.1290890967466
small,GA,0,6,1050.0177060980827
small,GA,0,7,794.1681842016491
small,GA,0,8,794.1681842016491
small,GA,0,9,794.1681842016491
small,GA,0,10,793.0318550110132
small,GA,0,11,792.7146672777974
small,GA,0,12,791.5783380871617
small,GA,0,13,791.5783380871617
small,GA,0,14,791.5783380871617
small,GA,0,15,791.5783380871617
small,GA,0,16,748.1042899136133
small,GA,0,17,748.1042899136133
small,GA,0,18,748.1042899136133
small,GA,0,19,748.1042899136133
small,GA,0,20,748.1042899136133
small,GA,0,21,748.1042899136133
small,GA,0,22,685.7283690950137
small,GA,0,23,684.5920399043779
small,GA,0,24,684.5920399043779
small,GA,0,25,684.5920399043779
small,GA,0,26,684.5920399043779
small,GA,0,27,684.5920399043779
small,GA,0,28,684.5920399043779
small,GA,0,29,684.5920399043779
small,GA,0,30,684.5920399043779
small,GA,0,31,684.5920399043779
small,GA,0,32,684.5920399043779
small,GA,0,33,684.5920399043779
small,GA,0,34,683.6509923703211
small,GA,0,35,683.6509923703211
small,GA,0,36,683.6509923703211
small,GA,0,37,683.6509923703211
small,GA,0,38,683.6509923703211
small,GA,0,39,683.6509923703211
small,GA,0,40,683.6509923703211
small,GA,0,41,683.6509923703211
small,GA,0,42,683.6509923703211
small,GA,0,43,683.6509923703211
small,GA,0,44,683.6509923703211
small,GA,0,45,683.6509923703211
small,GA,0,46,683.6509923703211
small,GA,0,47,683.6509923703211
small,GA,0,48,683.6509923703211
small,GA,0,49,683.6509923703211
small,GA,1,0,1670.2332626618145
small,GA,1,1,1670.2332626618145
small,GA,1,2,1664.5819125978037
small,GA,1,3,1525.8596831097611
small,GA,1,4,1525.8596831097611
small,GA,1,5,1525.8596831097611
small,GA,1,6,1525.8596831097611
small,GA,1,7,1303.9216447756835
small,GA,1,8,1303.921644775683
small,GA,1,9,1303.921644775683
small,GA,1,10,1303.921644775683
small,GA,1,11,1303.921644775683
small,GA,1,12,1303.921644775683
small,GA,1,13,1303.921644775683
small,GA,1,14,1303.921644775683
small,GA,1,15,1303.921644775683
small,GA,1,16,1303.921644775683
small,GA,1,17,1303.921644775683
small,GA,1,18,1303.921644775683
small,GA,1,19,1303.921644775683
small,GA,1,20,1303.921644775683
small,GA,1,21,1303.921644775683
small,GA,1,22,1303.921644775683
small,GA,1,23,1303.921644775683
small,GA,1,24,1303.921644775683
small,GA,1,25,1303.921644775683
small,GA,1,26,1303.921644775683
small,GA,1,27,1303.921644775683
small,GA,1,28,1303.921644775683
small,GA,1,29,1298.2702947116722
small,GA,1,30,1298.2702947116722
