param,value,algorithm,seed,best_fitness,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
gamma_frac,0.0,GA,0,1509.0186565815195,124.89984385837117,247.7782410526663,171.8515094092841,217.74752722003797,1120.1174332346393,0.0,0
gamma_frac,0.0,GA,1,883.8236101318843,104.9402789165437,199.2666689299915,151.38291623629073,72.17961183458911,669.1172749127677,0.0,0
gamma_frac,0.0,GA,2,1902.7733306332327,182.25321663969294,271.16727527505924,153.86363861389185,488.2252221364676,1211.2985898716224,0.0,0
gamma_frac,0.0,GA,3,1538.7241062405426,164.42275323588285,213.51622119197796,182.79310315829628,467.3755196830908,888.5237229502577,0.0,0
gamma_frac,0.0,GA,4,2197.221102703055,159.34989825829143,248.54897361167417,148.28545901170907,583.7327605837036,1429.5916091043616,0.0,0
gamma_frac,0.0,SA,0,1708.1321125363925,132.1914946325968,231.51894279400858,145.254887497088,543.715434124449,999.8142707580248,0.0,0
gamma_frac,0.0,SA,1,810.1133525848941,119.48584479727664,210.13780970834193,165.83608689261288,78.08630923209101,576.0755606631395,0.0,0
gamma_frac,0.0,SA,2,1012.102926803649,112.72498373290672,207.94409541192925,152.1515364871564,202.98120405292883,659.9456949632568,0.0,0
gamma_frac,0.0,SA,3,1156.6985630378358,102.13086954525293,230.24359864759353,159.23118713119086,31.905820750589804,972.8079904941033,0.0,0
gamma_frac,0.0,SA,4,1217.4756588832379,119.48584479727664,222.47151660792827,138.1473425035781,78.08630923209101,985.2755037694144,0.0,0
gamma_frac,0.0,QGA,0,917.8598890706041,90.74866395256697,223.0043086242522,281.5453781567777,0.0,749.2751888756895,0.0,0
gamma_frac,0.0,QGA,1,856.5416520216859,90.74866395256697,229.42321811158098,188.47938531323712,0.0,704.6444775492807,0.0,0
gamma_frac,0.0,QGA,2,1280.2963233499217,96.60498242334847,235.0778607526288,210.31877588252294,95.55100654265402,1023.8557121933004,0.0,0
gamma_frac,0.0,QGA,3,1158.005832746333,95.82151893015839,233.170811096958,162.95876007059385,118.28758929480216,889.2644886432454,0.0,0
gamma_frac,0.0,QGA,4,830.2939488144128,94.14617450922601,222.90215682675404,223.76019840893252,0.0,671.5981748299871,0.0,0
gamma_frac,0.0,Q2GA,0,1106.0395241184592,114.35731843735512,214.01998431248256,196.20580675063658,143.85562758084666,801.5580806750629,0.0,0
gamma_frac,0.0,Q2GA,1,615.0333400722554,86.77075661113408,225.93245735036925,159.26480622202195,0.0,472.01526331717326,0.0,0
gamma_frac,0.0,Q2GA,2,892.5588132532532,90.74866395256697,211.62096801107202,229.1870942228833,0.0,737.8607720290715,0.0,0
gamma_frac,0.0,Q2GA,3,964.5096358871457,102.13086954525293,207.72522925134808,234.8251789051261,59.137644285471005,745.0239522726185,0.0,0
gamma_frac,0.0,Q2GA,4,1324.4769476678696,148.41430735149694,218.56730684998766,172.00033422266344,315.5839102835611,834.7156248090309,0.0,0
gamma_frac,0.1,GA,0,1524.932883647881,124.89984385837117,250.27026291780126,172.92395598933896,217.74752722003797,1135.0695644254492,0.0,0
gamma_frac,0.1,GA,1,884.4627770122133,104.9402789165437,200.4866406074929,152.7487931216841,72.17961183458911,669.1172749127677,0.0,0
gamma_frac,0.1,GA,2,1535.984909421891,130.24478504608732,250.27026291780126,156.92507448434353,131.88101047614438,1232.5154126504938,0.0,0
gamma_frac,0.1,GA,3,1708.0884676047685,165.24169768058016,209.43317140269733,189.77281490842088,475.56496413006386,1049.1181402319212,0.0,0
gamma_frac,0.1,GA,4,2197.221102703055,159.34989825829143,248.54897361167417,148.28545901170907,583.7327605837036,1429.5916091043616,0.0,0
gamma_frac,0.1,SA,0,1284.672243454872,132.1914946325968,218.83911710021184,183.04437032801272,405.3222928345074,710.9935941084001,0.0,0
gamma_frac,0.1,SA,1,815.6984898496326,119.48584479727664,212.6298315734769,158.14682063482638,78.08630923209101,582.4509446198949,0.0,0
gamma_frac,0.1,SA,2,720.4013339869277,86.77075661113408,196.60954090153376,138.90509782520328,0.0,590.25207384586,0.0,0
gamma_frac,0.1,SA,3,1156.9130523538468,102.13086954525293,230.24359864759353,160.3036337112457,31.905820750589804,972.8079904941033,0.0,0
gamma_frac,0.1,SA,4,1233.753053600329,119.48584479727664,224.96353847306324,141.0356273372815,78.08630923209101,1000.2276349602243,0.0,0
gamma_frac,0.1,QGA,0,1278.423419381843,86.77075661113408,237.2415183150291,262.18062190160333,0.0,1111.4294612014464,0.0,0
gamma_frac,0.1,QGA,1,861.5256957519559,90.74866395256697,229.42321811158098,188.47938531323712,0.0,709.6285212795508,0.0,0
gamma_frac,0.1,QGA,2,1290.4789001264728,96.60498242334847,235.0778607526288,211.3912224625778,95.55100654265402,1033.8237996538403,0.0,0
gamma_frac,0.1,QGA,3,1174.3193612033265,95.82151893015839,235.66283296209298,164.32463695598722,118.28758929480216,904.5572351636197,0.0,0
gamma_frac,0.1,QGA,4,834.2333771693704,94.14617450922601,222.90215682675404,243.45734018372087,0.0,671.5981748299871,0.0,0
gamma_frac,0.1,Q2GA,0,660.9545689288425,90.74866395256697,211.41753224990018,217.52626534295266,0.0,508.64972420899846,0.0,0
gamma_frac,0.1,Q2GA,1,905.0301548385855,86.77075661113408,222.4668970498783,154.77380412148057,0.0,763.9499465937589,0.0,0
gamma_frac,0.1,Q2GA,2,916.7054900375497,94.14617450922601,223.47432134769923,202.37284679219948,0.0,762.115537020187,0.0,0
gamma_frac,0.1,Q2GA,3,872.2526009519622,94.14617450922601,234.1160130411365,196.96984662260854,0.0,715.5507404604865,0.0,0
gamma_frac,0.1,Q2GA,4,1371.4308116074185,148.41430735149694,238.48761919857793,172.34958388650693,222.72862200319253,968.4788333916026,0.0,0
gamma_frac,0.2,GA,0,1575.9206095094623,126.90207781931228,250.27026291780126,179.34016934269738,227.7586970247436,1173.7617608311828,0.0,0
gamma_frac,0.2,GA,1,1138.4088667999429,91.9297058147807,230.79792719956697,163.2072378400392,98.82852371791373,891.7346644467609,0.0,0
gamma_frac,0.2,GA,2,1567.6537112304707,130.24478504608732,250.27026291780126,161.8527807173959,131.88101047614438,1263.198673212463,0.0,0
gamma_frac,0.2,GA,3,1738.4985527896592,165.24169768058016,209.43317140269733,188.40693802302752,475.56496413006386,1079.8014007938905,0.0,0
gamma_frac,0.2,GA,4,1593.0276266050414,130.24478504608732,223.1956260336076,196.28879473594526,164.90240804612043,1256.7863792786059,0.0,0
gamma_frac,0.2,SA,0,1592.8849701638724,138.55229323797647,202.22077091102736,161.64745326192906,541.2031657169939,889.4099359021961,0.0,0
gamma_frac,0.2,SA,1,741.4125568930685,86.77075661113408,207.4089401756895,170.1692392979908,0.0,601.7706486751965,0.0,0
