size,algorithm,seed,best_fitness,runtime_s,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
small,GA,0,683.6509923703211,0.8567877998575568,160.21534894241614,199.0260043376081,189.6955806415314,210.10737528151242,295.7890251880118,0.0,0
small,GA,1,1297.747049110714,0.8762234998866916,201.24437227300385,219.45608040597938,160.52817003531308,825.073204385473,274.1092004598827,0.0,0
small,GA,2,633.6268898115272,0.8796240002848208,95.15676385128137,227.63044747139455,163.144398040104,0.0,485.1304940364473,0.0,0
small,GA,3,724.3698040616657,0.8514565001241863,101.24262929335342,228.76052510567922,187.3556015791466,2.6349480080216026,565.0142635594343,0.0,0
small,GA,4,785.5326856629997,0.8690053001046181,160.21534894241614,217.62039794499458,190.0689667709501,210.10737528151242,392.0177231725909,0.0,0
small,GA,5,691.4956339425245,0.8550722999498248,155.98971408223252,212.78409322832542,188.66990796659178,172.82961584215258,339.1019514974397,0.0,0
small,GA,6,976.8021336435514,0.8613601000979543,170.4522859917319,200.84153230679973,156.97094674694668,472.68756380161904,327.2417778046372,0.0,0
small,GA,7,896.8605075758836,0.8505206000991166,101.24262929335342,278.7228445180658,156.97094674694668,2.6349480080216026,728.5932022163762,0.0,0
small,GA,8,803.3781040862525,0.912310500163585,150.59775616128582,220.4229615812562,184.29018363075838,145.8698262374191,479.2244745676619,0.0,0
small,GA,9,762.7300782658065,0.8879317999817431,101.24262929335342,227.39754799267743,156.97094674694668,2.6349480080216026,609.8603618639156,0.0,0
small,SA,0,524.4582907873607,0.8703332003206015,95.15676385128137,217.62039794499458,188.66990796659178,0.0,373.8598078849033,0.0,0
small,SA,1,640.9426455208506,0.8888918999582529,101.24262929335342,220.2392223931278,156.97094674694668,2.6349480080216026,490.2204267988247,0.0,0
small,SA,2,1045.727460207644,0.8886667997576296,188.95055058956095,220.95846029374056,156.97094674694668,422.949546312397,430.62091116295505,0.0,0
small,SA,3,797.0597581385814,0.8866981999017298,171.69317230543487,203.5099700650769,156.97094674694668,306.5352584154948,312.2307332014567,0.0,0
small,SA,4,542.9158075257108,0.9090316998772323,101.24262929335342,204.0543042664793,168.85469205048526,0.0,397.30726318899315,0.0,0
small,SA,5,928.6558101578587,0.874770799651742,181.19840585512196,215.02459194875763,156.97094674694668,345.42809896800713,396.72694132827394,0.0,0
small,SA,6,889.3264382605068,0.8835017997771502,156.49218501592202,198.66499093670782,156.97094674694668,333.0865540435204,387.00010507862373,0.0,0
small,SA,7,596.3071717595615,0.8582644001580775,101.24262929335342,213.4885762471075,188.94154024522572,2.6349480080216026,441.21602818168583,0.0,0
small,SA,8,841.3870123798407,0.8882907000370324,155.98971408223252,222.23848955044784,156.97094674694668,172.82961584215258,492.4968032820482,0.0,0
small,SA,9,781.0191288552687,0.8777793003246188,173.39634104318327,205.3456525260617,191.06596291003842,259.86275064690636,334.6413193469445,0.0,0
small,QGA,0,767.1543659420965,0.8432923001237214,180.6959349214324,195.03428540172794,156.97094674694668,328.6686298717012,258.23329363977143,0.0,0
small,QGA,1,522.0809303234074,0.8403453999198973,95.15676385128137,199.13769628469086,163.144398040104,2.6349480080216026,379.4974118963171,0.0,0
small,QGA,2,461.269279244755,0.8294919999316335,100.00174297965044,199.0260043376081,156.97094674694668,0.0,320.166417104258,0.0,0
small,QGA,3,567.3059596756673,0.8230206002481282,101.24262929335342,203.5099700650769,184.29018363075838,0.0,418.77361728331584,0.0,0
small,QGA,4,591.1653410413182,0.8747002999298275,100.00174297965044,227.63044747139455,160.52817003531308,0.0,440.76970130301197,0.0,0
small,QGA,5,676.2225198341039,0.8960488000884652,101.24262929335342,227.63044747139455,160.52817003531308,0.0,525.2064369389462,0.0,0
small,QGA,6,540.5901646296381,0.8443305999971926,101.24262929335342,225.06857321570791,156.97094674694668,0.0,391.05408866885966,0.0,0
small,QGA,7,611.0423230621755,0.8774804999120533,101.24262929335342,207.4419266615646,160.52817003531308,0.0,466.0827964099667,0.0,0
small,QGA,8,419.0087884361977,0.8475928003899753,95.15676385128137,191.38555155025185,160.52817003531308,0.0,281.9091070384188,0.0,0
small,QGA,9,687.7048271571916,0.8600309998728335,95.15676385128137,227.11588997633226,183.0746263449865,2.6349480080216026,532.7418049616324,0.0,0
small,Q2GA,0,454.6089461469402,2.0690066004171968,101.24262929335342,188.5973283326961,188.94154024522572,0.0,309.62012495140954,0.0,0
small,Q2GA,1,468.2151722371285,2.0016092001460493,100.00174297965044,192.9793547520652,156.97094674694668,0.0,328.92630497229436,0.0,0
small,Q2GA,2,552.1605953678506,2.036715599708259,100.00174297965044,192.8093886828028,231.89643787341595,0.0,397.93761969850135,0.0,0
small,Q2GA,3,429.0444385794111,2.0218843002803624,100.00174297965044,184.83643103101943,164.9925717625106,0.0,290.59412342777796,0.0,0
small,Q2GA,4,622.4359865672942,2.029015100095421,95.15676385128137,215.6499295408687,156.97094674694668,0.0,478.7684364300036,0.0,0
small,Q2GA,5,553.3994128402848,2.0656264000572264,95.15676385128137,202.59694753319553,190.0689667709501,2.6349480080216026,404.39320529247374,0.0,0
small,Q2GA,6,583.4730919120188,2.02662739995867,100.00174297965044,215.6499295408687,179.0872179911276,0.0,432.9597979617074,0.0,0
small,Q2GA,7,548.0532626630456,1.986610199790448,101.24262929335342,211.12410054568699,184.29018363075838,0.0,397.23668112651114,0.0,0
small,Q2GA,8,477.5867299156497,2.0130801000632346,95.15676385128137,198.66499093670782,156.97094674694668,0.0,339.0146613596073,0.0,0
small,Q2GA,9,445.3987014273515,2.0415372997522354,95.15676385128137,195.53300155392787,156.97094674694668,0.0,307.76622968614316,0.0,0
medium,GA,0,1140.7653640841663,1.4491106998175383,95.82151893015839,212.21351628770043,152.8850918474304,118.28758929480216,880.3259420684889,0.0,0
medium,GA,1,1004.5463418249999,1.5092412997037172,90.74866395256697,232.43026190401537,174.19947154727015,0.0,854.6030369680577,0.0,0
medium,GA,2,1539.1049989062108,1.4589141001924872,114.35731843735512,247.87546289457038,183.03709093898237,92.8552882803686,1278.100994350997,0.0,0
medium,GA,3,1265.3409074087333,1.49341950006783,88.40309131558246,238.7425558469506,191.03752806369013,0.0,1111.3090893841188,0.0,0
medium,GA,4,1333.5368380288369,1.4554769000969827,143.75451676683133,217.9945047876314,219.378792793407,333.4940621864155,818.891407464035,0.0,0
medium,GA,5,1459.2060741402488,1.4247697000391781,129.8907901768172,233.92362892996215,175.05847492309755,259.0588977899761,1030.0129975982559,0.0,0
medium,GA,6,1156.1101482444442,1.4973837002180517,104.9402789165437,237.91441378808585,210.0848805006481,72.17961183458911,918.0690967150279,0.0,0
medium,GA,7,1278.8854900404003,1.4665685999207199,140.02287793272671,258.1349950821752,242.80546758541576,180.7714749093413,902.1009841229599,0.0,0
medium,GA,8,800.530968332859,1.4621160002425313,90.74866395256697,220.99683456904907,189.821172876756,0.0,650.8933514105096,0.0,0
medium,GA,9,1667.8562772615692,1.4327898998744786,129.8907901768172,224.9129269064533,261.36838005300046,130.11103612979383,1353.0522919608306,0.0,0
medium,SA,0,1744.8051472548714,1.5055813998915255,138.55229323797647,202.22077091102736,189.6903262354115,713.571108416214,863.3535956992786,0.0,0
medium,SA,1,828.0109568915686,1.4597354996949434,90.74866395256697,213.93288966896353,144.3079475624653,0.0,689.595168502103,0.0,0
medium,SA,2,1113.492018060092,1.445314799901098,114.35731843735512,229.81529244757292,160.76198069936328,92.8552882803686,862.3610866869014,0.0,0
medium,SA,3,851.8916274057402,1.457039600238204,114.35731843735512,209.56143621996915,171.08424527910196,92.8552882803686,604.7723999848829,0.0,0
medium,SA,4,1067.7536667997276,1.4790358003228903,86.77075661113408,237.31326102989163,194.23756591611513,0.0,914.3267970019701,0.0,0
medium,SA,5,1153.6516559597708,1.4594878000207245,99.09777426165614,222.06855915342487,218.11108415488587,115.38609111978751,878.4738931321506,0.0,0
medium,SA,6,973.8775469981254,1.4744155001826584,121.94150376452119,218.1018552494107,165.1075263401484,130.77621491619902,683.6785183568129,0.0,0
medium,SA,7,1638.4936190249064,1.482652600388974,102.13086954525293,236.23756265313943,161.56782177726421,31.72304381985775,1452.5203072810275,0.0,0
medium,SA,8,1212.2624656009798,1.4701139000244439,95.82151893015839,258.1349950821752,177.46099614921496,118.28758929480216,933.1314190866029,0.0,0
medium,SA,9,933.8348269924653,1.4426455995999277,88.40309131558246,219.45620052928098,169.45197506792056,0.0,789.9060261623057,0.0,0
medium,QGA,0,1062.8373534121438,1.4540109997615218,90.74866395256697,256.6304603679324,268.096115840957,0.0,886.8546601572892,0.0,0
medium,QGA,1,873.1900681529567,1.4619909999892116,90.74866395256697,231.4254520725221,203.75321715800646,0.0,717.6374571233152,0.0,0
medium,QGA,2,1387.9007782556196,1.4054149999283254,130.23693948811035,235.0778607526288,225.0028331846844,198.66291469242228,1008.5954689564167,0.0,0
medium,QGA,3,1204.729446388217,1.446003899909556,95.82151893015839,235.66283296209298,162.95876007059385,118.28758929480216,935.240495725589,0.0,0
